,id,sales,avg_price,revenue,quartal_success,cluster,cluster_success,necklace,earring,ring,keychain,other_product
0,LifeOfLazyCats,166,8.622000000000009,1431.2520000000015,0,1,0,0,0,0,0,1
1,Resinw0rldshop,0,8.236923076923075,0.0,0,1,0,0,0,0,1,0
2,DziwnaLogika,2,54.2328125,108.465625,0,1,0,0,0,0,1,0
3,yunasoracrafts,199,14.649436619718307,2915.2378873239427,0,1,0,0,0,0,1,0
4,ZeitlosSchmuckDesign,1081,46.83699999999998,50630.79699999998,1,0,1,1,1,1,0,0
5,Oliverley,1,8.676000000000004,8.676000000000004,0,1,0,1,0,1,1,0
6,FeenBrunn,18,7.06409090909091,127.15363636363638,0,1,0,0,0,0,1,0
7,GeoJewelryBySilvi,523,18.46025,9654.710749999998,1,1,0,1,1,0,0,0
8,moonanisa,0,9.91,0.0,0,1,0,0,0,0,0,1
9,LenaThomsenJewelry,11,17.153846153846153,188.6923076923077,0,1,0,1,1,0,0,0
10,LaDisDesign,19,27.162749999999992,516.0922499999998,0,1,0,1,1,1,0,0
11,Epoxyfee,0,7.939545454545455,0.0,0,1,0,0,1,0,1,0
12,Friemelei,11,7.834250000000003,86.17675000000004,0,1,0,0,0,0,0,1
13,lilwitchery,39,13.976578947368415,545.0865789473684,0,1,0,0,0,0,0,1
14,ClartJewelry,1,10.902,10.902,0,1,0,0,0,0,1,0
15,Fleckpfoetchen,1,17.571818181818184,17.571818181818184,0,1,0,0,0,0,0,1
16,PinkBaphometCrafts,13,15.990999999999996,207.88299999999995,0,1,0,0,1,0,1,0
17,kuromorikira,3,4.704074074074073,14.11222222222222,0,1,0,1,1,0,1,0
18,OmilyDE,3,22.7,68.1,0,1,0,0,1,0,1,0
19,blondjuwel,200,10.35025,2070.05,0,1,0,0,0,1,1,0
20,Littlefairytail,636,5.186060606060607,3298.334545454546,1,1,0,0,0,0,1,0
21,TinasSchmucktruhe,702,27.267567567567557,19141.832432432424,1,3,0,1,1,0,1,0
22,MarinaPratiwi,97,19.840999999999998,1924.5770000000002,0,1,0,0,0,0,1,0
23,GallopingGargoyles,59,14.983499999999996,884.0264999999997,0,1,0,1,1,1,1,0
24,EnchantingEpoxyDE,154,10.78869565217391,1661.459130434782,0,1,0,0,0,1,1,0
25,CupKittyAccessoires,5,13.220799999999995,66.10399999999997,0,1,0,0,1,0,0,0
26,Maresiondesigne,5,8.34,41.7,0,1,0,0,1,0,1,0
27,artlove4youShop,7,18.80543859649124,131.63807017543868,0,1,0,0,1,0,0,0
28,ResinArtGiftsShop,0,14.519500000000004,0.0,0,1,0,0,1,0,0,0
29,Nalyria,7,57.22869565217391,400.60086956521735,0,1,0,1,0,0,0,0
30,Drehholzkeller,38,30.71647058823529,1167.225882352941,0,1,0,0,1,0,0,0
31,LaSuey,80,41.948214285714286,3355.857142857143,1,1,0,0,0,0,0,1
32,eywajewelry,2,21.768571428571423,43.53714285714285,0,1,0,1,0,0,0,0
33,ResinArtattack,405,18.167,7357.635,1,1,0,0,0,1,1,0
34,Resinosaa,418,15.131904761904767,6325.1361904761925,1,1,0,1,0,0,1,0
35,KoboldsZeug,4,21.9456,87.7824,0,1,0,1,0,1,1,0
36,StoffAtelierDesign,828,10.441666666666665,8645.699999999999,1,1,0,0,1,1,0,0
37,NicSaArt,19,44.61424999999999,847.6707499999999,0,1,0,0,0,0,0,1
38,divinefemininebyV,8,23.23,185.84,0,1,0,0,0,0,0,1
39,LittletreasuresDE,40,17.63775,705.51,0,1,0,1,1,0,0,0
40,avacareBeauty,0,18.57,0.0,0,1,0,0,0,0,0,1
41,KunstharzDesign,4,862.5391666666666,3450.1566666666663,1,1,0,0,0,0,0,1
42,lifeoflone,1000,8.939999999999998,8939.999999999998,1,1,0,0,1,1,1,0
43,xjaezzx,17,11.68190476190476,198.5923809523809,0,1,0,0,0,0,1,0
44,Resini,14,47.46186046511629,664.4660465116281,0,1,0,1,1,0,0,0
45,Klusterbeeshop,0,29.801388888888887,0.0,0,1,0,1,1,1,0,0
46,CScompanyDE,2,30.96,61.92,0,1,0,0,0,0,0,1
47,Alwoodex,146,40.58833333333335,5925.896666666667,1,1,0,1,0,0,0,0
48,jellypuffjewelry,2,11.893200000000002,23.786400000000004,0,1,0,1,0,0,1,0
49,NatuerlichLoui,18,17.3755,312.759,0,1,0,1,1,1,0,0
50,infintyhome,11,37.16142857142857,408.77571428571434,0,1,0,0,0,0,1,0
51,Vikascolourfulworld,5,22.157777777777767,110.78888888888883,0,1,0,0,0,0,1,0
52,LunaWolkenbruch,10,18.728823529411766,187.2882352941177,0,1,0,1,1,0,0,0
53,CDreamydesigns,0,13.077222222222225,0.0,0,1,0,0,1,0,1,0
54,ResinMaya,13,6.410999999999999,83.34299999999998,0,1,0,0,0,0,1,0
55,LuttisResin,7,14.089999999999998,98.62999999999998,0,1,0,0,0,0,0,1
56,Ankobytalmi,1,10.119375,10.119375,0,1,0,1,1,0,1,0
57,TheFabLabStudio,76,11.195500000000004,850.8580000000003,0,1,0,0,1,0,0,0
58,NecklaceTherapyShop,85,53.11651162790698,4514.903488372093,1,1,0,1,1,1,0,0
59,KreativTraum,76,35.00474999999999,2660.360999999999,0,1,0,1,1,0,0,0
60,HOLZerUndPAPIER,13,32.55050000000001,423.15650000000016,0,1,0,0,1,1,0,0
61,artsarahk1408,27,30.32200000000001,818.6940000000003,0,1,0,0,0,1,1,0
62,TDYArtAtelier,19,15.750000000000027,299.2500000000005,0,1,0,0,0,0,0,1
63,LunarumUnikate,8,11.563333333333334,92.50666666666667,0,1,0,0,1,0,0,0
64,ByBozhena,22,42.37055555555555,932.152222222222,0,1,0,0,1,1,0,0
65,Sadingo,3055,8.767435897435897,26784.516666666666,1,3,0,1,1,0,1,0
66,Bluetenwunder,3,13.878,41.63399999999999,0,1,0,0,0,1,0,0
67,FrauFerlau,4867,5.787249999999998,28166.545749999987,1,3,0,1,1,1,0,0
68,Handwerkskram,13,5.427619047619048,70.55904761904762,0,1,0,1,1,1,0,0
69,GoldmarieDE,20,9.805,196.1,0,1,0,0,1,0,0,0
70,ProduktdesignGcmARt,11,26.43919999999999,290.8311999999998,0,1,0,1,0,1,0,0
71,BklynBbyy,12,33.45,401.4,0,1,0,1,0,0,0,0
72,KatarinaFHandmade,0,26.015,0.0,0,1,0,0,0,0,0,1
73,DeanPackerDesign,41,38.196111111111115,1566.0405555555558,0,1,0,1,0,0,0,0
74,flomory,1006,62.53125,62906.4375,1,0,1,1,1,1,0,0
75,ThisiscuteJenny,173,44.06086956521739,7622.530434782608,1,1,0,1,1,0,1,0
76,Only4YouDesigner,46,20.20525,929.4415,0,1,0,1,1,0,1,0
77,MiPerlaResinArt,1,11.807199999999998,11.807199999999998,0,1,0,0,0,0,1,0
78,Moonguild,22,58.38083333333334,1284.3783333333333,0,1,0,1,0,0,0,0
79,SchmuckausdemWald,1,22.862187499999994,22.862187499999994,0,1,0,0,1,0,0,0
80,Ramonawdesign,0,10.235384615384616,0.0,0,1,0,1,0,0,0,0
81,CatlynsArt,72,13.904430379746833,1001.118987341772,0,1,0,1,1,0,0,0
82,TosiArt,129,133.6502325581395,17240.879999999994,1,3,0,0,1,0,0,0
83,TPWJ,50,6.046666666666668,302.33333333333337,0,1,0,1,1,0,1,0
84,MoonlightGermany,0,6.19,0.0,0,1,0,0,0,0,0,1
85,RedheadsCraftShop,1,12.114999999999995,12.114999999999995,0,1,0,0,1,0,1,0
86,GeschmeideUnterTeck,1352,111.0878048780488,150190.71219512195,1,2,1,1,1,1,0,0
87,SweetPorcelain,35,22.710555555555572,794.8694444444452,0,1,0,1,0,0,0,0
88,Pittoresk,99,21.84200000000001,2162.358000000001,0,1,0,1,1,1,0,0
89,Zwinkerglanz,143,17.214285714285715,2461.642857142857,0,1,0,1,1,0,1,0
90,BreakfastAtTriebs,4504,12.180499999999995,54860.97199999998,1,0,1,0,0,0,0,1
91,PIRESIN,0,11.139999999999995,0.0,0,1,0,0,0,0,1,0
92,SweetSugarRushShop,916,20.14925,18456.713,1,3,0,1,1,0,1,0
93,Sonnenkraft7,96,76.857,7378.272,1,1,0,1,0,0,0,0
94,MrsEigenart,22,33.044000000000025,726.9680000000003,0,1,0,1,1,1,0,0
95,HERZundHAAR,5,34.07,170.35,0,1,0,1,0,0,0,0
96,Stoneharz,1,16.93,16.93,0,1,0,1,0,0,0,0
97,LeeStarkCrafting,142,29.36,4169.12,1,1,0,1,0,0,0,0
98,MythicWorldDesign,0,27.748,0.0,0,1,0,0,1,1,0,0
99,ChrisCaArt,189,16.834675324675313,3181.753636363634,1,1,0,1,0,0,0,0
100,Punkterei,3,42.66930232558139,128.00790697674418,0,1,0,1,1,0,1,0
101,MiraMoonflower,363,29.918101265822788,10860.270759493671,1,1,0,1,1,1,0,0
102,LaraArtAcc,4,22.3,89.2,0,1,0,0,0,0,0,1
103,CascabellaDE,448,33.89694444444444,15185.831111111109,1,3,0,1,1,1,0,0
104,PetrasWerkstaettle,0,15.415,0.0,0,1,0,1,0,0,0,0
105,WhiteWayNaturSchmuck,56,39.27377049180326,2199.331147540983,0,1,0,0,1,1,0,0
106,EpoHarz,1,31.687368421052646,31.687368421052646,0,1,0,1,0,0,1,0
107,PinkLifestyleKunst,0,9.29,0.0,0,1,0,0,0,0,1,0
108,goldensasin,8,6.5,52.0,0,1,0,0,0,0,0,1
109,WoodyWoodworkerDE,74,58.56974999999998,4334.161499999998,1,1,0,1,0,0,1,0
110,HotepWoodArt,2,21.67833333333333,43.35666666666666,0,1,0,1,0,0,0,0
111,HarzGeschenke,1,4.692857142857143,4.692857142857143,0,1,0,0,0,0,1,0
112,Schmuckwiese,4280,2.4640000000000004,10545.920000000002,1,1,0,1,1,0,0,0
113,Verenalicious,13,18.369230769230768,238.8,0,1,0,0,0,0,1,0
114,LenicoK,1,11.46,11.46,0,1,0,0,0,0,1,0
115,Unicate,3966,16.640294117647052,65995.4064705882,1,0,1,0,0,0,0,1
116,GiftsFromUnderwater,24,26.265428571428572,630.3702857142857,0,1,0,1,1,0,0,0
117,knopfLosBerlin,11929,6.207323943661972,74047.16732394366,1,0,1,0,0,0,0,1
118,AnnaBlumenkind,80,40.28825000000001,3223.0600000000013,1,1,0,0,1,1,1,0
119,Anilalia,222,8.939444444444444,1984.5566666666666,0,1,0,1,1,0,1,0
120,Bilderseele,2,49.55428571428572,99.10857142857144,0,1,0,0,1,0,0,0
121,traumschmuckshop,873,42.209625,36849.002625,1,3,0,1,0,1,0,0
122,AngiWoodDesign,56,97.01000000000003,5432.560000000002,1,1,0,0,0,1,1,0
123,SachatikaHandmadeArt,25,64.24805555555554,1606.2013888888885,0,1,0,1,1,0,0,0
124,HeimatJuwelen,1,27.24,27.24,0,1,0,0,0,1,0,0
125,HelixCraftsDesigns,154,30.61162500000001,4714.1902500000015,1,1,0,0,1,1,0,0
126,Wavelry,9,23.70708333333333,213.36375,0,1,0,1,1,0,0,0
127,Mellowsliimezz,1594,8.516176470588231,13574.785294117642,1,3,0,0,0,0,0,1
128,hagenkuller,3,12.377142857142855,37.13142857142857,0,1,0,0,1,0,0,0
129,NickysFantasy,132,72.03900000000002,9509.148000000003,1,1,0,1,1,1,0,0
130,xXMauriArtXx,83,17.003888888888888,1411.3227777777774,0,1,0,0,0,0,1,0
131,Nicollier,39,52.253055555555534,2037.869166666666,0,1,0,1,0,1,0,0
132,AvelialashesDE,234,6.337777777777778,1483.0400000000006,0,1,0,0,0,0,1,0
133,TonyMoular,2,5.6240000000000006,11.248,0,1,0,0,0,0,0,1
134,SanarisLight,69,251.80068965517242,17374.247586206897,1,3,0,0,0,0,0,1
135,JerrySDE,3,25.040833333333325,75.12249999999997,0,1,0,1,0,0,0,0
136,topbastelfan,0,48.915,0.0,0,1,0,0,0,0,1,0
137,MiNahCreates,264,14.55725,3843.114,1,1,0,1,1,0,1,0
138,DakovKnives,1,45.974444444444465,45.974444444444465,0,1,0,1,1,0,0,0
139,WoodArtTK,0,22.691666666666666,0.0,0,1,0,1,0,0,0,0
140,MadamDana,90,37.074625,3336.71625,1,1,0,1,1,0,0,0
141,FascinumShop,2433,7.109999999999999,17298.629999999994,1,3,0,1,0,0,0,0
142,LesyaPilezkaya,156,21.74125,3391.635,1,1,0,0,1,1,0,0
143,Refloxy,90,9.765,878.85,0,1,0,0,0,0,1,0
144,KunstharzArt,506,18.7365,9480.669,1,1,0,0,0,0,0,1
145,ArtResinGifts,1,14.810000000000002,14.810000000000002,0,1,0,1,1,0,1,0
146,DiAfroBoutique,0,6.603333333333333,0.0,0,1,0,0,0,0,1,0
147,FengariArtShop,4,48.1246153846154,192.4984615384616,0,1,0,1,1,0,0,0
148,PuffelWolfArt,4,13.4725,53.89,0,1,0,1,0,0,1,0
149,ResinBuddies,8,43.538999999999994,348.31199999999984,0,1,0,0,0,0,1,0
150,iloibes,1,56.15916666666666,56.15916666666666,0,1,0,1,1,0,0,0
151,Luflom,30,102.44357142857143,3073.307142857143,1,1,0,1,1,1,0,0
152,BananaMolding,2,13.215555555555556,26.43111111111111,0,1,0,0,0,0,1,0
153,EdnaMo,167,64.50299999999999,10772.000999999998,1,1,0,1,1,0,0,0
154,CitasPaintbox,1079,17.912692307692314,19327.795000000006,1,3,0,0,0,0,0,1
155,SteamyWonders,36,65.45944444444444,2356.54,0,1,0,1,1,0,0,0
156,epoxyregiiischa,4,5.98625,23.945,0,1,0,0,0,0,1,0
157,KirschrotTreasury,1135,73.12475,82996.59125000001,1,0,1,1,1,1,1,0
158,LivoltArts,448,40.49,18139.52,1,3,0,0,0,1,0,0
159,LaiaPachamamaCrafts,152,30.82487804878048,4685.381463414633,1,1,0,1,1,1,0,0
160,Phoenixdaily,39,31.58199999999999,1231.6979999999996,0,1,0,1,1,1,1,0
161,H4KreativWerk,64,21.943000000000005,1404.3520000000005,0,1,0,1,1,1,0,0
162,VtgstoreBoutique,62,110.78425,6868.6235,1,1,0,0,0,1,0,0
163,ZauberstubeMN,0,9.29,0.0,0,1,0,0,0,0,0,1
164,CheyDE,0,6.19,0.0,0,1,0,0,0,0,1,0
165,SchulteHolzkunst,23,16.631000000000004,382.51300000000015,0,1,0,0,1,0,0,0
166,TheResinFactory,42,29.53361111111112,1240.411666666667,0,1,0,1,1,1,1,0
167,EinzelArtbyAnja,0,24.65,0.0,0,1,0,1,0,0,0,0
168,StyroDream,157,21.60275,3391.63175,1,1,0,0,0,0,0,1
169,KatiesBeautyStore,5,5.228888888888887,26.144444444444442,0,1,0,0,0,0,0,1
170,MadisonVSchatze,0,9.538,0.0,0,1,0,1,0,0,1,0
171,Resinella,4,16.198000000000004,64.79200000000002,0,1,0,0,1,0,0,0
172,VanessaSchmidtArt,7,23.282758620689656,162.97931034482758,0,1,0,0,0,0,0,1
173,NGArtsDesign,0,15.95125,0.0,0,1,0,1,0,0,0,0
174,PrettyshopDE,0,10.177,0.0,0,1,0,1,1,0,1,0
175,FlorianStreck,0,178.54319999999996,0.0,0,1,0,1,1,1,0,0
176,gleamforyou,13,21.61625,281.01125,0,1,0,0,0,0,1,0
177,MausgetierDesigns,1,45.08055555555556,45.08055555555556,0,1,0,1,1,0,0,0
178,Malikamacrame,1,44.41705882352941,44.41705882352941,0,1,0,1,1,0,0,0
179,SchniekeDesign,0,18.654,0.0,0,1,0,0,1,0,0,0
180,FroschInvasion,23,4.0275,92.6325,0,1,0,1,1,0,0,0
181,ReinResinArt,6,14.775,88.65,0,1,0,0,0,1,0,0
182,ElenasKreativArt,20,31.436388888888878,628.7277777777775,0,1,0,0,1,0,1,0
183,PakelByTuna,0,10.323333333333334,0.0,0,1,0,1,0,0,0,0
184,hedisosselfmade,24,12.262297297297295,294.2951351351351,0,1,0,1,0,1,0,0
185,ISAndala,63,8.183225806451611,515.5432258064517,0,1,0,1,1,0,1,0
186,NatureHandicrafts,7,15.88090909090909,111.16636363636364,0,1,0,0,0,0,0,1
187,Fireinsidsworkshop,0,3.1,0.0,0,1,0,0,0,0,0,1
188,mimitinkers,8,7.678461538461537,61.4276923076923,0,1,0,0,1,1,1,0
189,antonianikolina,0,9.91,0.0,0,1,0,0,0,0,0,1
190,NosilaDesignStudio,38,9.703333333333337,368.7266666666668,0,1,0,0,1,0,1,0
191,smalartshop,317,8.84586956521739,2804.140652173913,0,1,0,1,0,0,0,0
192,MadeByMangouni,1,9.7325,9.7325,0,1,0,0,0,1,1,0
193,bymylona,8,61.14571428571429,489.16571428571433,0,1,0,0,0,0,1,0
194,Epoxycreation,0,35.75500000000001,0.0,0,1,0,0,1,0,0,0
195,MahtabSchatz,83,19.45216216216216,1614.5294594594593,0,1,0,0,0,1,0,0
196,DustandAshesshop,1,11.315217391304348,11.315217391304348,0,1,0,1,1,0,0,0
197,MahounoResinShop,0,22.3,0.0,0,1,0,0,0,0,1,0
198,ChriznTiaz,0,18.40285714285714,0.0,0,1,0,0,0,0,0,1
199,Shopyourcraft,352,5.997419354838708,2111.0916129032253,0,1,0,1,1,1,1,0
200,HolzDesignRotholz,23,92.916,2137.0679999999998,0,1,0,0,0,1,0,0
201,HanamiSchmuck,44,9.636842105263158,424.0210526315789,0,1,0,1,1,1,0,0
202,XeAlethaJewellery,28,84.18967741935481,2357.310967741935,0,1,0,1,1,1,0,0
203,VillaVintageChic,278,9.730833333333333,2705.1716666666666,0,1,0,0,0,0,0,1
204,mirayhaticeresin,2,51.1025,102.205,0,1,0,0,0,0,0,1
205,SANOIA,45,27.99814814814815,1259.9166666666667,0,1,0,1,1,0,0,0
206,loveflowersshop,11575,4.500749999999999,52096.18124999999,1,0,1,0,1,0,0,0
207,FuerErSieEs,20,23.927142857142854,478.54285714285714,0,1,0,1,0,0,0,0
208,GriechischeLederShop,169,47.97206349206348,8107.278730158728,1,1,0,1,1,1,0,0
209,Resinbymarinchen,0,7.843333333333333,0.0,0,1,0,0,0,0,0,1
210,LydiacraftsShop,1,17.79138888888889,17.79138888888889,0,1,0,1,1,0,1,0
211,talmilu,12,17.501388888888883,210.0166666666666,0,1,0,1,1,1,0,0
212,KunstblickDesinG,1,33.34000000000001,33.34000000000001,0,1,0,1,0,0,0,0
213,DENSmanufactory,9,31.204999999999995,280.845,0,1,0,0,0,1,0,0
214,ResinMerve,2,8.67,17.34,0,1,0,0,0,0,1,0
215,EpsilonBerlin,1,300.60833333333335,300.60833333333335,0,1,0,0,0,0,0,1
216,KreativKautz,171,8.167209302325581,1396.592790697675,0,1,0,0,0,1,1,0
217,Artgoddessibiza,0,142.43147058823533,0.0,0,1,0,0,0,0,0,1
218,Ardoriacrafts,0,9.29,0.0,0,1,0,0,1,1,0,0
219,ranitasart,223,17.897249999999993,3991.086749999998,1,1,0,1,1,1,0,0
220,JewelleryFusion,92,32.66083333333333,3004.796666666666,1,1,0,1,1,0,0,0
221,TuranLoch,476,27.85,13256.6,1,3,0,1,1,0,0,0
222,Silberglas,3514,21.064358974358974,74020.15743589742,1,0,1,1,1,1,0,0
223,BCJdesign,39,75.38095238095238,2939.857142857143,0,1,0,1,1,0,0,0
224,Lichtblickebygina,0,10.652857142857146,0.0,0,1,0,1,1,0,1,0
225,ImSiebtenHimmel,1168,59.96021739130433,70033.53391304347,1,0,1,1,1,1,0,0
226,LaceOrchid,136,35.158888888888896,4781.60888888889,1,1,0,0,1,0,0,0
227,olaschmuckberlin,242,139.84599999999998,33842.732,1,3,0,0,0,0,0,1
228,SenAtelier,98,20.545,2013.41,0,1,0,0,0,0,0,1
229,ResinUnikateLove,6,47.595,285.57,0,1,0,0,1,0,0,0
230,Ximedesign,0,49.55,0.0,0,1,0,0,0,0,0,1
231,AlluringJewelryDE,8,20.597916666666674,164.7833333333334,0,1,0,1,0,1,1,0
232,JulchensDesigns,0,5.656666666666666,0.0,0,1,0,0,0,0,1,0
233,LuxuriousEpoxy,0,39.23,0.0,0,1,0,1,0,0,0,0
234,ReliasDesign,119,13.510625,1607.764375,0,1,0,0,0,0,1,0
235,Isis10,18,21.76133333333333,391.704,0,1,0,0,1,1,0,0
236,Beldacci,177,26.23675,4643.90475,1,1,0,1,1,0,0,0
237,DerOekofroschLaden,15,4.71,70.65,0,1,0,0,1,0,0,0
238,ALEXASCHA,1296,26.54813333333333,34406.380799999984,1,3,0,1,1,1,0,0
239,PIOFIORE,2,50.52125,101.0425,0,1,0,1,1,0,0,0
240,EpoxySchmuck,0,17.34,0.0,0,1,0,0,0,0,0,1
